EAD ID,Collection title,Identifier,No EAD
mnsss141,Jane Addams papers,1,
mnsss125,Florence Ellinwood Allen papers,2,
mnsss358,Ames family papers,3,
,Linda Stout papers,4,x
mnsss129,Susan B. Anthony papers,5,
mnsss193,Mary Ann Wodrow Archbald papers,6,
mnsss207,Anna H. Askanasy papers,7,
mnsss211,Josephine Dodge Daskam Bacon papers,8,
mnsss130,Helen Tufts Bailie papers,9,
mnsss212,Sidney Baldwin papers,10,
mnsss15,Clara Barton papers,11,
mnsss199,Florence Bascom papers,12,
mnsss135,Mary Ritter Beard papers,13,
mnsss183,Patrica Beck papers,14,
mnsss213,Vera Wadsworth Beggs papers,15,
mnsss146,Frances Bemis papers,16,
mnsss362,Florence Billings papers,17,
mnsss168,Blake family papers,18,
mnsss8,Ella Reeve Bloor papers,19,
mnsss169,Vivion Lenon Brewer papers,20,
mnsss6,Brewster family papers,21,
mnsss142,Helen Gurley Brown papers,22,
mnsss187,Dorothy Hamilton Brush papers,23,
mnsss219,Louise Stevens Bryant papers,24,
mnsss221,Jane Burr papers,25,
mnsss339,Bush-Brown family papers,26,
mnsss222,Jessie Haver Butler papers,27,
mnsss583,Ernestine Gilbreth Carey papers,28,
mnsss224,Frank G. Carpenter papers,29,
mnsss225,Frances Casement papers,30,
mnsss144,Carrie Chapman Catt papers,31,
mnsss226,Jessie Anderson Chase papers,32,
mnsss227,Ruth Chatterton papers,33,
mnsss197,Kate Upson Clark papers,34,
mnsss229,Eleanor Gwinnell Coit papers,35,
mnsss151,Bessie Boies Cotton papers,36,
mnsss234,Mary Alletta Crump papers,37,
mnsss9,Margaret Wooster Curti papers,38,
mnsss235,Edith Roelker Curtis papers,39,
mnsss179,Nancy Cox-McCormack Cushman papers,40,
mnsss170,Grace Lathrop Collin papers,41,
mnsss230,Katharine Cornell papers,42,
mnsss231,Louisa Stuart Costello papers,43,
mnsss86,Charlotte B. DeForest papers,44,
mnsss237,Zelie De Lussan papers,45,
mnsss11,Agnes De Mille papers,46,
mnsss239,Elisabeth Anthony Dexter papers,47,
mnsss240,Abby Morton Diaz papers,48,
mnsss13,Madeleine Z. Doty papers,49,
mnsss127,Ethel Eyre Valentine Dreier papers,50,
mnsss181,Sophie Hutchinson Drinker papers,51,
mnsss87,Phyllis Duganne papers,52,
mnsss512,Eastman-Goodale-Dayton family papers,53,
mnsss16,Catharine May Edes papers,54,
mnsss242,Katharine Asher Engel papers,55,
mnsss243,Alene Stern Erlanger papers,56,
mnsss381,May Farquharson papers,57,
mnsss246,Sophie Friedman papers,58,
mnsss152,Harriet Bliss Ford papers,59,
mnsss175,Garrison family papers,60,
,Margot Gayle papers,61,x
mnsss172,Katharine Geddes papers,62,
mnsss392,Sally Hayes Plaut papers,63,
,Emma Goldman papers,64,x
mnsss247,Florence Cornell Gomme papers,65,
mnsss340,Grant family papers,66,
mnsss248,Constance McLaughlin Green papers,67,
,Norma Kidd Green papers,68,x
mnsss385,Ruth Tuthill Green papers,69,
mnsss390,G.J. Stillson MacDonnell papers,70,
mnsss90,Hale family papers,71,
mnsss251,Eva Hansl papers,72,
mnsss250,Stella Hanau papers,73,
mnsss252,Julia Collier Harris papers,74,
mnsss253,Helen Hayes papers,75,
mnsss254,Florence Hazzard papers,76,
